hanja	hangul	require_hanja	require_hangul
㿉疝붕알	퇴산붕알	false	false
一列이	일렬이	false	false
一家방답	일가방답	false	false
一家방상	일가방상	false	false
一等好畓	일등호답	false	false
一끔	일끔	false	false
一펭상	일펭상	false	false
一평상	일평상	false	false
七壽馬	칠수마	false	false
七星고기	칠성고기	false	false
七星괴기	칠성괴기	false	false
七星뱀장우	칠성뱀장우	false	false
七月낭구	칠월낭구	false	false
七色緞옷	칠색단옷	false	false
七色緞조고리	칠색단조고리	false	false
七떼기	칠떼기	false	false
七띠	칠띠	false	false
七띠기	칠띠기	false	false
七보	칠보	false	false
七푸이	칠푸이	false	false
丈人걸음	장인걸음	false	false
三伏더우	삼복더우	false	false
三八딸벵이	삼팔딸벵이	false	false
三千발	삼천발	false	false
三千발이	삼천발이	false	false
三合	삼합	false	false
三壽매	삼수매	false	false
三寸엄매	삼촌엄매	false	false
三煞방우	삼살방우	false	false
三神할마이	삼신할마이	false	false
三神할망구	삼신할망구	false	false
三神할머이	삼신할머이	false	false
三神핼미	삼신핼미	false	false
三節치기	삼절치기	false	false
三가래질	삼가래질	false	false
三가름배이	삼가름배이	false	false
三갈래길	삼갈래길	false	false
三갈레질	삼갈레질	false	false
三거리질	삼거리질	false	false
三날	삼날	false	false
三동매다	삼동매다	false	false
三발	삼발	false	false
三발구	삼발구	false	false
三발이	삼발이	false	false
三시랑	삼시랑	false	false
三시번	삼시번	false	false
三이붓	삼이붓	false	false
三치레	삼치레	false	false
上峯꼭대기	상봉꼭대기	false	false
上筍애기	상순애기	false	false
上軍	상군	false	false
上거래이	상거래이	false	false
上거러지	상거러지	false	false
上거렁뱅이	상거렁뱅이	false	false
上걸배이	상걸배이	false	false
上곡뒤	상곡뒤	false	false
上그지	상그지	false	false
上깃	상깃	false	false
上낮	상낮	false	false
上늘기이	상늘기이	false	false
上마루	상마루	false	false
上마르	상마르	false	false
上마리	상마리	false	false
上머루	상머루	false	false
上머섬	상머섬	false	false
上머심	상머심	false	false
上모	상모	false	false
上모루	상모루	false	false
上베	상베	false	false
上비렁뱅이	상비렁뱅이	false	false
上세관	상세관	false	false
上수	상수	false	false
上시름	상시름	false	false
上씨림	상씨림	false	false
上잠녜	상잠녜	false	false
上짓	상짓	false	false
上찌리	상찌리	false	false
上팔재	상팔재	false	false
下군	하군	false	false
下베	하베	false	false
下빠리	하빠리	false	false
下잠녜	하잠녜	false	false
下잠수	하잠수	false	false
下찌리	하찌리	false	false
不治벵	불치벵	false	false
不겡기	불겡기	false	false
世上읎어도	세상읎어도	false	false
世上읏어도	세상읏어도	false	false
中奴輩	중노배	false	false
中媒비	중매비	false	false
中媒장이	중매장이	false	false
中宕	중탕	false	false
中宕巾	중탕건	false	false
中心쇠	중심쇠	false	false
中情머리	중정머리	false	false
中房쟁이	중방쟁이	false	false
中枋	중방	false	false
中潛嫂	중잠수	false	false
中船배	중선배	false	false
中衣적삼	중의적삼	false	false
中軍	중군	false	false
中途맹이	중도맹이	false	false
中間손가락	중간손가락	false	false
中間체	중간체	false	false
中거럼	중거럼	false	false
中거리	중거리	false	false
中거리치	중거리치	false	false
中계량	중계량	false	false
中늘기이	중늘기이	false	false
中늙인이	중늙인이	false	false
中달	중달	false	false
中도막	중도막	false	false
中두리	중두리	false	false
中두막	중두막	false	false
中마로	중마로	false	false
中마루	중마루	false	false
中마를	중마를	false	false
中베	중베	false	false
中세	중세	false	false
中소안치	중소안치	false	false
中쇄	중쇄	false	false
中쇳구녁	중쇳구녁	false	false
中쉬	중쉬	false	false
中시	중시	false	false
中신내비	중신내비	false	false
中신서다	중신서다	false	false
中신애비	중신애비	false	false
中신재이	중신재이	false	false
中신해미	중신해미	false	false
中쎄	중쎄	false	false
中쐬	중쐬	false	false
中쐬구녕	중쐬구녕	false	false
中쒜구녕	중쒜구녕	false	false
中쒸	중쒸	false	false
中잠녜	중잠녜	false	false
中진애비	중진애비	false	false
中챔	중챔	false	false
中체	중체	false	false
中탈	중탈	false	false
中태	중태	false	false
中터리	중터리	false	false
中하익고	중하익고	false	false
中학고	중학고	false	false
中학괴	중학괴	false	false
中핵고	중핵고	false	false
中핵교	중핵교	false	false
丹楓남	단풍남	false	false
丹楓낭고	단풍낭고	false	false
主着바가지	주착바가지	false	false
主着바가찌	주착바가찌	false	false
主着엄따	주착엄따	false	false
主着움따	주착움따	false	false
主着웂다	주착웂다	false	false
主着음따	주착음따	false	false
主着읎다	주착읎다	false	false
主장	주장	false	false
乾貯室	건저실	false	false
乾게옥질	건게옥질	false	false
乾버짐	건버짐	false	false
乾쟁기질	건쟁기질	false	false
乾지침	건지침	false	false
乾짜로	건짜로	false	false
乾펭	건펭	false	false
亂離赤地	난리적지	false	false
亂離버꾸	난리버꾸	false	false
亂離버꾸통	난리버꾸통	false	false
事故뭉테기	사고뭉테기	false	false
事故뭉텡이	사고뭉텡이	false	false
二代하랍시	이대하랍시	false	false
二代할마니	이대할마니	false	false
二壽망셍이	이수망셍이	false	false
二月함쌔	이월함쌔	false	false
二대바지	이대바지	false	false
二벌	이벌	false	false
五倍子낭그	오배자낭그	false	false
五倍子낭기	오배자낭기	false	false
五六	오륙	false	false
五冬至달	오동짓달	false	false
五方亂場	오방난장	false	false
五方土神	오방토신	false	false
五福繡댕기	오복수댕기	false	false
五萬쌍	오만쌍	false	false
五다니	오다니	false	false
五바	오바	false	false
亡허다	망허다	false	false
京詞	경사	false	false
京語	경어	false	false
人事땡기다	인사땡기다	false	false
人物	인물	false	false
人蔘무	인삼무	false	false
人蔘무꾸	인삼무꾸	false	false
人間	인간	false	false
人겁	인겁	false	false
人기적	인기적	false	false
人기적하다	인기적하다	false	false
人내	인내	false	false
人도까비	인도까비	false	false
人두껍	인두껍	false	false
人두께비	인두께비	false	false
仔詳시롭다	자상시롭다	false	false
代代루	대대루	false	false
代身맥이	대신맥이	false	false
令監때기	영감때기	false	false
令監사	영감사	false	false
令監재이	영감재이	false	false
令監탕구	영감탕구	false	false
令監태구리	영감태구리	false	false
令監태끼	영감태끼	false	false
令監탱구	영감탱구	false	false
令監티기	영감티기	false	false
令監할마씨	영감할마씨	false	false
令監할마이	영감할마이	false	false
以北치기	이북치기	false	false
仰土쟁이	앙토쟁이	false	false
仲伯父	중백부	false	false
仲父님	중부님	false	false
伏다름	복다름	false	false
伏다리기	복다리기	false	false
伏달더우	복달더우	false	false
伏대리미	복대리미	false	false
伏댈임	복댈임	false	false
伏더우	복더우	false	false
伏더이	복더이	false	false
伯男	백남	false	false
伯세	백세	false	false
低헬압	저헬압	false	false
作人	작인	false	false
作斤하다	작근하다	false	false
使者맥이	사자맥이	false	false
來내멩년	내내멩년	false	false
來후연	내후연	false	false
依支암지하다	의지암지하다	false	false
保溫벵	보온벵	false	false
信防독	신방독	false	false
修筒벵이	수통벵이	false	false
俸給재이	봉급재이	false	false
候災	후재	false	false
倨慢시레	거만시레	false	false
倨慢시룹다	거만시룹다	false	false
倭布	왜포	false	false
倭醬	왜장	false	false
倭감자	왜감자	false	false
倭감재	왜감재	false	false
倭국시	왜국시	false	false
倭뇜	왜뇜	false	false
倭눔	왜눔	false	false
倭무꾸	왜무꾸	false	false
倭베	왜베	false	false
倭솟	왜솟	false	false
