hanja	hangul	require_hanja	require_hangul
ㄷ型鋼	ㄷ형강	false	false
䘌鼻	닉비	false	false
䴇𩾚	령정	false	false
䴷子	혼자	false	false
一人兩役	일인량역	false	false
一元化計劃體系	일원화계획체계	false	false
一利一失	일리일실	false	false
一化五味之敎	일화오미지교	false	false
一四分區	일사분구	false	false
一回態	일회태	false	false
一回甲	일회갑	false	false
一國一黨原則	일국일당원칙	false	false
一夜千里	일야천리	false	false
一委	일위	false	false
一委되다	일위되다	false	false
一委하다	일위하다	false	false
一宗	일종	false	false
一家頉	일가탈	false	false
一年감色	일년감색	false	false
一年감빛	일년감빛	false	false
一廡	일무	false	false
一式家具	일식가구	false	false
一時金	일시금	false	false
一曆年	일력년	false	false
一曆月	일력월	false	false
一條垂兒	일조수아	false	false
一次中性子	일차중성자	false	false
一次信號	일차신호	false	false
一次原子爐	일차원자로	false	false
一次奉仕單位	일차봉사단위	false	false
一次粒子	일차립자	false	false
一次結晶化	일차결정화	false	false
一次醫療奉仕	일차의료봉사	false	false
一次關聯	일차관련	false	false
一次電氣設備	일차전기설비	false	false
一次마디	일차마디	false	false
一次안같기式	일차안같기식	false	false
一次여러마디式	일차여러마디식	false	false
一次잔구멍	일차잔구멍	false	false
一火線	일화선	false	false
一生當代	일생당대	false	false
一産	일산	false	false
一目大將	일목대장	false	false
一級負荷	일급부하	false	false
一線形	일선형	false	false
一致規定語	일치규정어	false	false
一般兵種部隊	일반병종부대	false	false
一般區間防潮堤	일반구간방조제	false	false
一般寢臺	일반침대	false	false
一般巧藝	일반교예	false	false
一般指導	일반지도	false	false
一般數字操縱工作機械	일반수자조종공작기계	false	false
一般格	일반격	false	false
一般水文地質學	일반수문지질학	false	false
一般的指導	일반적지도	false	false
一般的選擧	일반적선거	false	false
一般監視	일반감시	false	false
一般祝日	일반축일	false	false
一般繪畫	일반회화	false	false
一般託兒所	일반탁아소	false	false
一般車	일반차	false	false
一般食事	일반식사	false	false
一般마디	일반마디	false	false
一般머리	일반머리	false	false
一般무이能力	일반무이능력	false	false
一般양념醬	일반양념장	false	false
一舷突擊	일현돌격	false	false
一萬樂	일만락	false	false
一葉雙曲線	일엽쌍곡선	false	false
一行千里戰術	일행천리전술	false	false
一進一新	일진일신	false	false
一進一新하다	일진일신하다	false	false
一邊倒政策	일변도정책	false	false
一部構成文	일부구성문	false	false
一隻底曳網	일척저예망	false	false
一面天幕	일면천막	false	false
一顯一沒	일현일몰	false	false
一顯一沒하다	일현일몰하다	false	false
一體	일체	false	false
一體式層막	일체식층막	false	false
七寶八珍	칠보팔진	false	false
七寶족도리	칠보족도리	false	false
七星子	칠성자	false	false
七星門	칠성문	false	false
七月窮節	칠월궁절	false	false
七甲	칠갑	false	false
七縱八擒	칠종팔금	false	false
七色松魚	칠색송어	false	false
七葉나무	칠엽나무	false	false
七部身畫面	칠부신화면	false	false
七面鳥장과	칠면조장과	false	false
七面鳥찬묵	칠면조찬묵	false	false
七香鷄찜닭色말이	칠향계찜닭색말이	false	false
丈人	장인	false	false
三一人民蜂起	삼일인민봉기	false	false
三七	삼칠	false	false
三世界	삼세계	false	false
三人一派	삼인일파	false	false
三人一黨	삼인일당	false	false
三人運動	삼인운동	false	false
三位一體의方針	삼위일체의방침	false	false
三住所符號	삼주소부호	false	false
三作	삼작	false	false
三作하다	삼작하다	false	false
三元一次聯立方程式	삼원일차련립방정식	false	false
三光政策	삼광정책	false	false
三八國際婦女節	삼팔국제부녀절	false	false
三八婦女節	삼팔부녀절	false	false
三八節	삼팔절	false	false
三動변	삼동변	false	false
三化輸送	삼화수송	false	false
三化輸送方針	삼화수송방침	false	false
三十二分休止符	삼십이분휴지부	false	false
三十二分소리標	삼십이분소리표	false	false
三千六父之子	삼천륙부지자	false	false
三原色印刷	삼원색인쇄	false	false
三原色受像管	삼원색수상관	false	false
三同紬	삼동주	false	false
三喪不弔	삼상부조	false	false
三大力量	삼대력량	false	false
三大基本力量	삼대기본력량	false	false
三大技術革命	삼대기술혁명	false	false
三大陸	삼대륙	false	false
三大革命	삼대혁명	false	false
三大革命小組	삼대혁명소조	false	false
三大革命小組運動	삼대혁명소조운동	false	false
三大革命路線	삼대혁명로선	false	false
三大革命붉은旗	삼대혁명붉은기	false	false
三大革命붉은旗爭取運動	삼대혁명붉은기쟁취운동	false	false
三婚	삼혼	false	false
三家村	삼가촌	false	false
三寸아버님	삼촌아버님	false	false
