hanja	hangul	require_hanja	require_hangul
ㄱㄴㄷ次例	ㄱㄴㄷ차례	false	false
ㄱㄴㄷ順	ㄱㄴㄷ순	false	false
ㄱㄴ次例	ㄱㄴ차례	false	false
ㄱㄴ順	ㄱㄴ순	false	false
ㄱ字鏃홈	ㄱ자촉홈	false	false
ㄱ字쇠	ㄱ자쇠	false	false
ㄱ字자	ㄱ자자	false	false
ㄱ字집	ㄱ자집	false	false
ㄱ字턱솔홈	ㄱ자턱솔홈	false	false
ㄱ字홈	ㄱ자홈	false	false
ㄷ字管	ㄷ자관	false	false
ㄷ字집	ㄷ자집	false	false
ㄹ字집	ㄹ자집	false	false
ㅁ字집	ㅁ자집	false	false
㢿弓	후궁	false	false
㢿弓木소	후궁목소	false	false
㢿弓魚鱗	후궁어린	false	false
㢿弓뿔끝	후궁뿔끝	false	false
㹠腸草	돈장초	false	false
㼚	강	false	false
㽉	함	false	false
㽋	나	false	false
㾴風	사풍	false	false
㿉疝	퇴산	false	false
㿉疝症	퇴산증	false	false
㿉疝불알	퇴산불알	false	false
㿉疝불이	퇴산불이	false	false
㿗疝	퇴산	false	false
㿹	달	false	false
䄠儀	선의	false	false
䄠儀式	선의식	false	false
䆃官署	도관서	false	false
䈟皮	측피	false	false
䈟皮하다	측피하다	false	false
䐃破	군파	false	false
䐜脹	진창	false	false
䔿䔿	준준	false	false
䔿䔿하다	준준하다	false	false
䔿䔿히	준준히	false	false
䖡蚭	육니	false	false
䗅蜋	장랑	false	false
䘀螽	부종	false	false
䘌鼻	익비	false	false
䝴咨官	재자관	false	false
䩞匠	점장	false	false
䪼腫	졸종	false	false
䪿腫	신종	false	false
䯱䰄	비새	false	false
䰶魚	망어	false	false
䱋魚	공어	false	false
䱾魚	누어	false	false
䳾鷄	등계	false	false
䴇𩾚	영정	false	false
䵝昧	알매	false	false
䵝昧하다	알매하다	false	false
䵟𪒟	간증	false	false
一	일	false	false
一一査得	일일사득	false	false
一一査得하다	일일사득하다	false	false
一一이	일일이	false	false
一三昧	일삼매	false	false
一上一下	일상일하	false	false
一上一下하다	일상일하하다	false	false
一下	일하	false	false
一下하다	일하하다	false	false
一不	일불	false	false
一不投足	일불투족	false	false
一不投足하다	일불투족하다	false	false
一不擧論	일불거론	false	false
一不擧論하다	일불거론하다	false	false
一不現形	일불현형	false	false
一不現形하다	일불현형하다	false	false
一世	일세	false	false
一世一代	일세일대	false	false
一世一元	일세일원	false	false
一世一期	일세일기	false	false
一世之雄	일세지웅	false	false
一世冠	일세관	false	false
一世界	일세계	false	false
一丘之貉	일구지학	false	false
一中	일중	false	false
一中禮	일중례	false	false
一乘	일승	false	false
一乘之使	일승지사	false	false
一乘圓敎	일승원교	false	false
一乘妙典	일승묘전	false	false
一乘實相	일승실상	false	false
一乘弘宣	일승홍선	false	false
一乘法	일승법	false	false
一乘經	일승경	false	false
一乘顯性敎	일승현성교	false	false
一事	일사	false	false
一事一言	일사일언	false	false
一事不再理	일사부재리	false	false
一事不再議	일사부재의	false	false
一事無成	일사무성	false	false
一二	일이	false	false
一二月	일이월	false	false
一人	일인	false	false
一人一技	일인일기	false	false
一人一黨主義	일인일당주의	false	false
一人二役	일인이역	false	false
一人劇	일인극	false	false
一人當千	일인당천	false	false
一人當百	일인당백	false	false
一人稱	일인칭	false	false
一人者	일인자	false	false
一介	일개	false	false
一介之士	일개지사	false	false
一代	일대	false	false
一代宗臣	일대종신	false	false
一代敎	일대교	false	false
一代時敎	일대시교	false	false
一代藏經	일대장경	false	false
一代記	일대기	false	false
一代談宗	일대담종	false	false
一代豪傑	일대호걸	false	false
一以貫之	일이관지	false	false
一以貫之하다	일이관지하다	false	false
一件	일건	false	false
一任	일임	false	false
一任되다	일임되다	false	false
一任하다	일임하다	false	false
一伏時	일복시	false	false
一伐	일벌	false	false
一伐干	일벌간	false	false
一伸一縮	일신일축	false	false
一伸一縮하다	일신일축하다	false	false
一位	일위	false	false
一佛	일불	false	false
一佛乘	일불승	false	false
一佛土	일불토	false	false
一作	일작	false	false
一來向	일래향	false	false
一來果	일래과	false	false
一例	일례	false	false
一便	일편	false	false
一俯一仰	일부일앙	false	false
一俯一仰하다	일부일앙하다	false	false
一個人	일개인	false	false
